"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.029310471","","","2.138837707","3.605769231","3.981229008","6.16428154","13.48238863","16.5101867852465","57.0518202760016","65.0581101566448","72.1028273395384","99.6475485380354","103.384950665294","108.128210722574","112.214735926972","119.187434637621","126.16430929969","129.636369001367","","131.630265210608","134.549578805533","134.619461522154","135.133840005367","","","","",
"Afghanistan","AFG","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.11061570026154","0.844563529778951","2.42652836102083","4.67758261127375","9.53490458100388","17.2251058060254","28.4930032440338","36.9785847858903","35.0031267231369","45.8136261570673","49.2279769673842","52.0835762736241","55.1595146342637","57.2710680715414","61.0546377144842","65.929134064576","59.1208482338053","",
"Angola","AGO","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00841297","0.013507362","0.014298821","0.022901634","0.047419338","0.063933952","0.151258575","0.157397105896243","0.442588771357638","0.799113349491025","1.93140968239954","3.94495297909255","8.2903725207504","15.1594789473159","23.7333166613754","31.219903506853","36.0190094456048","40.2606009544513","49.8467733807925","50.9205995507953","51.0659203350459","52.158983265359","49.7932229515871","45.0762900524986","44.6861071385139","43.1305188834963","",
"Albania","ALB","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.074224675","0.10646013","0.180024831","0.35251579","0.95201938615825","12.5459148852415","27.2216601246183","35.2787647814015","40.5679166940428","49.5736375092733","62.3529841943624","76.5470511186889","61.9324483011498","82.8691968646319","91.3280527322887","105.852914984402","120.105857871532","126.936968582439","115.997935300322","117.659218277171","116.744444190383","125.710351924593","94.1769982724769","",
"Andorra","AND","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.307566907","1.279296715","1.250857571","4.424432263","8.527035426","13.39717382","22.00898008","32.00248563","36.0039761431412","43.7014597347827","46.8100900798013","70.90951326829","76.5515975027543","81.8593328007912","85.1974862025113","76.8020415074259","76.5567241420429","76.422812355706","77.555684495968","77.6672597227363","77.480679874313","79.1479931661178","83.623900117405","91.4435143761777","98.4928263710105","104.332411267386","107.282549411734","",
"Arab World","ARB","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","","","","","","","","","","","","","","","","","","","","","","","0.00138200893580798","0.00205478607689644","0.00276725541186758","0.00453048990461299","0.0114701572242434","0.0174517303805995","0.0198364410444564","0.0287796126955201","0.0388217080436764","0.0559730759428071","0.0633716476518976","0.0809279291016799","0.10437685182779","0.196109331608405","0.35210480828102","0.604256406334658","0.922815453355478","1.46898470709503","3.12805433722022","5.65042052855605","8.37890792705846","11.3905677720765","16.5320176377933","26.2903419449213","38.0982249849983","51.4915047155894","61.6188907947615","74.5058944913641","87.9176227722714","96.8451260565352","102.67491384378","107.303864080516","106.923620066456","105.734881743084","103.190799252329","101.030746585337","99.4316689477419","",
"United Arab Emirates","ARE","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","","","","","","","","","","","","","","","","","","","","","","","0.20003331","0.290119573","0.381461408","0.580018212","0.773724747","0.894077478","0.849566029","1.44557424","1.836436903","2.220165366","2.382932167","3.248112523","3.987473767","5.340090845","7.633886621","11.58109609","17.53432195","28.05992784","45.5675414206866","57.8100347017109","69.7966842945092","80.0750390901557","90.5260816453938","98.8212870990416","104.134185028642","125.331675106398","131.994529364395","134.790660335273","127.789875260644","131.079616715606","150.687604221407","174.643446174185","182.534236651681","193.703483790174","212.638986516369","208.978599909794","208.504833215467","",
"Argentina","ARG","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007154381","0.036788768","0.07557665","0.138952987","0.329701602","0.701000783","1.163985934","1.892449986","5.634374256","7.406006174","10.55432581","17.5964510874151","18.0863127491372","17.4268450225068","20.5898450393705","35.1044186564409","56.9677456296621","80.1997654459502","101.807959546717","116.039392058315","129.642207448756","139.580017993067","146.955455524498","154.059022977643","159.63946134269","143.615831608932","143.566834038237","146.453827600425","140.877123545137","132.093151327231","",
"Armenia","ARM","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.009469036","0.159586912","0.251906995","0.264193651","0.569652439038295","0.836008413842521","2.35166504173728","3.78997936335212","6.77534058492628","10.6680745682459","42.5838832818906","63.9841602281647","49.5938599912368","75.8805467415858","134.338736858861","111.634715063733","115.206914556863","115.484844636298","118.772363359679","118.421713775139","116.975467475528","118.464230568485","121.259017970726","",
"American Samoa","ASM","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","1.40291807","1.764014112","2.30348402","2.351347793","2.398037299","2.53526738","2.670417119","3.154961176","3.4451150965912","3.68584812117482","3.44617467840217","3.52917450927669","3.77004406762621","","","","","","","","","","","","","","","",
