Iceland,64.135338,-21.89521,Europe,,,,,,,
Finland,60.166586,24.943555,Europe,,,,,,,
Norway,59.913869,10.752245,Europe,,,,,,,
Sweden,59.32893,18.06491,Europe,,,,,,,
Latvia,56.946203,24.104287,Europe,,,,,,,
Russian Federation,55.742793,37.615401,Europe,,,,,,,
Denmark,55.676097,12.568337,Europe,,,,,,,
Estonia,55.44269,24.753197,Europe,,,,,,,
Lithuania,54.689386,25.280024,Europe,,,,,,,
Belarus,53.9,27.566667,Europe,,,,,,,
Ireland,53.344104,-6.267494,Europe,,,,,,,
Germany,52.519171,13.406091,Europe,,,,,,,
Netherlands,52.370216,4.895168,Europe,,,,,,,
Poland,52.229676,21.012229,Europe,,,,,,,
United Kingdom of Great Britain and Northern Ireland,51.507335,-0.127683,Europe,,,,,,,
Kazakhstan,51.166667,71.433333,Asia,,,,,,,
Belgium,50.85034,4.35171,Europe,,,,,,,
Ukraine,50.4501,30.5234,Europe,,,,,,,
Czech Republic,50.087811,14.42046,Europe,,,,,,,
Luxembourg,49.611621,6.131935,Europe,,,,,,,
France,48.856614,2.352222,Europe,,,,,,,
Austria,48.208174,16.373819,Europe,,,,,,,
Slovakia,48.146239,17.107262,Europe,,,,,,,
Mongolia,47.921378,106.90554,Asia,,,,,,,
Hungary,47.498406,19.040758,Europe,,,,,,,
Republic of Moldova,47.026859,28.841551,Europe,,,,,,,
Switzerland,46.947922,7.444608,Europe,,,,,,,
Slovenia,46.051426,14.505965,Europe,,,,,,,
Croatia,45.814912,15.978514,Europe,,,,,,,
Canada,45.42153,-75.697193,North and Central America,,,,,,,
Serbia and Montenegro (2003-2006),44.820556,20.462222,Europe,,,,,,,
Serbia,44.81,20.46,Europe,,,,,,,
Romania,44.437711,26.097367,Europe,,,,,,,
Bosnia and Herzegovina,43.85,18.25,Europe,,,,,,,
Kyrgyzstan,42.870022,74.587883,Asia,,,,,,,
Bulgaria,42.696492,23.326011,Europe,,,,,,,
Montenegro,42,19,Europe,,,,,,,
Italy,41.89052,12.494249,Europe,,,,,,,
Georgia,41.709981,44.792998,Asia,,,,,,,
Albania,41.33165,19.8318,Europe,,,,,,,
Uzbekistan,41,69,Asia,,,,,,,
Azerbaijan,40.43495,49.867623,Asia,,,,,,,
Spain,40.416691,-3.700345,Europe,,,,,,,
Armenia,40.183333,44.516667,Asia,,,,,,,
Turkey,39.92077,32.85411,Asia,,,,,,,
China,39.904214,116.407413,Asia,,,,,,,
Democratic People's Republic of Korea,39,126,Asia,,,,,,,
United States of America,38.895112,-77.036336,North and Central America,,,,,,,
Portugal,38.706932,-9.135632,Europe,,,,,,,
Greece,37.975336,23.73615,Europe,,,,,,,
Republic of Korea,37.566535,126.977969,Asia,,,,,,,
Tunisia,36.81881,10.16596,Africa,,,,,,,
Algeria,36.752887,3.042048,Africa,,,,,,,
